id;data_hora;cultura;umidade;fosforo_p;potassio_k;ph;temperatura;status_irrigacao
1;2026-05-02 09:00:00;Soja;52.5;39;49;6.72;23.25;Desligada
2;2026-05-03 10:00:00;Soja;56.76;37;55;5.84;24.42;Desligada
3;2026-05-04 11:00:00;Soja;72.62;47;20;6.37;25.25;Desligada
4;2026-05-05 12:00:00;Milho;50.36;42;35;5.66;26.33;Desligada
5;2026-05-06 13:00:00;Soja;52.75;50;24;6.6;28.34;Desligada
6;2026-05-07 14:00:00;Milho;40.99;37;49;5.8;27.17;Ligada
7;2026-05-08 15:00:00;Milho;47.53;54;53;5.27;19.46;Ligada
8;2026-05-09 16:00:00;Milho;41.56;47;51;5.85;25.1;Ligada
9;2026-05-10 17:00:00;Milho;54.63;55;54;5.94;21.47;Desligada
10;2026-05-11 08:00:00;Soja;65.22;39;53;6.5;28.26;Desligada
11;2026-05-12 09:00:00;Soja;60.12;39;36;6.05;30.41;Ligada
12;2026-05-13 10:00:00;Soja;46.76;41;58;6.07;29.01;Ligada
13;2026-05-14 11:00:00;Soja;48.66;41;38;6.25;21.86;Ligada
14;2026-05-15 12:00:00;Milho;49.19;30;60;6.31;26.06;Ligada
15;2026-05-16 13:00:00;Soja;66.73;53;61;6.47;26.88;Desligada
16;2026-05-17 14:00:00;Milho;60.97;49;53;5.66;27.54;Desligada
17;2026-05-18 15:00:00;Milho;48.56;48;46;5.51;25.23;Ligada
18;2026-05-01 16:00:00;Soja;62.61;45;42;4.91;27.04;Desligada
19;2026-05-02 17:00:00;Soja;47.04;42;38;5.87;26.9;Ligada
20;2026-05-03 08:00:00;Milho;37.41;44;49;5.04;25.92;Ligada
21;2026-05-04 09:00:00;Soja;57.36;37;44;5.99;30.3;Ligada
22;2026-05-05 10:00:00;Soja;68.66;37;44;6.45;22.55;Desligada
23;2026-05-06 11:00:00;Soja;44.78;29;43;6.73;25.86;Ligada
24;2026-05-07 12:00:00;Soja;60.17;27;39;6.14;24.49;Desligada
25;2026-05-08 13:00:00;Soja;65.18;27;39;6.59;27.28;Desligada
26;2026-05-09 14:00:00;Milho;27.3;38;41;5.74;27.67;Ligada
27;2026-05-10 15:00:00;Milho;34.89;42;60;5.97;24.2;Ligada
28;2026-05-11 16:00:00;Soja;49.53;39;47;6.21;27.04;Ligada
29;2026-05-12 17:00:00;Milho;58.53;50;31;6.43;23.04;Desligada
30;2026-05-13 08:00:00;Milho;41.06;50;63;6.23;23.14;Ligada
31;2026-05-14 09:00:00;Soja;44.7;34;58;5.77;23.12;Ligada
32;2026-05-15 10:00:00;Milho;63.05;40;42;5.5;23.55;Desligada
33;2026-05-16 11:00:00;Milho;51.89;45;48;6.29;29.9;Desligada
34;2026-05-17 12:00:00;Soja;44.56;23;44;5.67;28.93;Ligada
35;2026-05-18 13:00:00;Soja;57.88;36;51;5.94;27.82;Desligada
36;2026-05-01 14:00:00;Soja;38.56;28;29;5.9;28.57;Ligada
37;2026-05-02 15:00:00;Milho;38.59;29;38;6.53;23.43;Ligada
38;2026-05-03 16:00:00;Milho;41.73;48;60;5.47;30.15;Ligada
39;2026-05-04 17:00:00;Soja;51.33;21;51;5.45;22.45;Desligada
40;2026-05-05 08:00:00;Milho;56.95;49;56;5.76;28.28;Desligada
41;2026-05-06 09:00:00;Milho;36.39;58;37;6.44;26.45;Ligada
42;2026-05-07 10:00:00;Soja;59.41;27;41;6.8;26.39;Desligada
43;2026-05-08 11:00:00;Milho;51.52;46;46;6.1;30.99;Ligada
44;2026-05-09 12:00:00;Milho;44.61;25;51;5.6;28.56;Ligada
45;2026-05-10 13:00:00;Milho;43.42;48;67;5.6;21.35;Ligada
46;2026-05-11 14:00:00;Milho;48.57;49;62;6.07;30.95;Ligada
47;2026-05-12 15:00:00;Milho;40.16;43;46;5.53;28.1;Ligada
48;2026-05-13 16:00:00;Milho;58.0;39;37;6.63;21.71;Desligada
49;2026-05-14 17:00:00;Soja;54.76;39;76;6.14;28.92;Desligada
50;2026-05-15 08:00:00;Milho;67.44;40;50;6.19;26.38;Desligada
51;2026-05-16 09:00:00;Milho;59.49;56;52;5.78;27.34;Desligada
52;2026-05-17 10:00:00;Soja;69.36;37;38;6.01;24.52;Desligada
53;2026-05-18 11:00:00;Milho;40.75;52;49;5.13;22.87;Ligada
54;2026-05-01 12:00:00;Soja;71.26;37;50;5.82;28.63;Desligada
55;2026-05-02 13:00:00;Milho;68.78;27;66;6.14;24.9;Desligada
56;2026-05-03 14:00:00;Milho;46.52;46;47;5.8;29.3;Ligada
57;2026-05-04 15:00:00;Soja;49.37;41;51;5.09;18.63;Ligada
58;2026-05-05 16:00:00;Soja;57.23;33;53;5.98;24.16;Desligada
59;2026-05-06 17:00:00;Milho;50.0;58;41;5.89;26.61;Ligada
60;2026-05-07 08:00:00;Milho;43.95;51;57;6.18;27.89;Ligada
61;2026-05-08 09:00:00;Soja;61.25;48;53;6.32;26.17;Desligada
62;2026-05-09 10:00:00;Milho;52.6;38;52;6.15;28.62;Desligada
63;2026-05-10 11:00:00;Soja;42.18;35;55;6.21;25.05;Ligada
64;2026-05-11 12:00:00;Soja;62.58;29;42;6.24;30.43;Ligada
65;2026-05-12 13:00:00;Soja;50.08;25;29;5.91;30.33;Ligada
66;2026-05-13 14:00:00;Milho;32.85;52;57;6.12;26.27;Ligada
67;2026-05-14 15:00:00;Soja;49.53;34;19;6.61;20.31;Ligada
68;2026-05-15 16:00:00;Milho;57.99;43;50;5.94;23.68;Desligada
69;2026-05-16 17:00:00;Milho;44.98;34;64;5.58;25.57;Ligada
70;2026-05-17 08:00:00;Milho;45.99;30;57;5.83;21.93;Ligada
71;2026-05-18 09:00:00;Milho;44.43;34;36;5.55;24.52;Ligada
72;2026-05-01 10:00:00;Soja;57.51;42;39;5.7;27.48;Desligada
73;2026-05-02 11:00:00;Milho;68.85;28;51;6.37;25.07;Desligada
74;2026-05-03 12:00:00;Milho;40.3;44;39;6.05;25.74;Ligada
75;2026-05-04 13:00:00;Soja;51.06;35;48;6.96;26.96;Desligada
76;2026-05-05 14:00:00;Soja;59.93;31;51;5.62;25.57;Desligada
77;2026-05-06 15:00:00;Soja;49.28;29;48;6.32;26.0;Ligada
78;2026-05-07 16:00:00;Milho;47.74;42;65;5.98;29.46;Ligada
79;2026-05-08 17:00:00;Soja;52.37;55;58;5.92;29.45;Desligada
80;2026-05-09 08:00:00;Soja;63.25;43;27;5.57;19.88;Desligada
