N,P,K,temperatura,umidade,pH,chuva,label
77,50,52,27.15,91.77,5.72,137.42,arroz
79,47,39,22.87,81.47,5.74,196.74,arroz
83,38,35,24.88,81.62,6.53,155.36,arroz
85,41,33,26.79,75.79,6.01,150.05,arroz
99,45,34,27.43,81.33,6.12,195.35,arroz
87,41,35,26.45,68.19,5.67,214.17,arroz
96,43,44,27.62,100.47,6.59,176.8,arroz
70,33,41,25.49,73.47,5.97,152.96,arroz
96,51,39,29.96,82.46,5.9,218.08,arroz
85,37,38,25.25,73.7,6.52,227.74,arroz
66,48,34,26.03,78.45,5.9,181.21,arroz
71,46,39,26.52,76.55,6.0,198.88,arroz
85,38,40,28.5,71.98,6.39,163.43,arroz
85,39,25,23.74,82.29,6.29,157.39,arroz
86,33,39,24.58,78.09,6.22,158.49,arroz
76,52,35,28.67,75.22,6.39,216.04,arroz
55,39,44,26.59,84.23,5.99,182.16,arroz
78,53,42,27.68,79.53,6.03,169.19,arroz
83,42,42,31.15,87.23,6.09,210.03,arroz
75,30,31,23.26,79.89,6.21,221.91,arroz
83,43,46,22.58,83.41,6.47,143.04,arroz
91,47,36,28.27,95.62,6.26,186.21,arroz
75,39,46,25.29,82.43,6.03,191.97,arroz
83,52,35,26.46,76.13,6.04,189.43,arroz
87,38,46,29.71,84.48,6.86,160.66,arroz
67,32,51,28.31,81.67,6.3,151.86,arroz
104,45,40,28.45,84.89,6.28,160.24,arroz
84,58,50,30.19,78.93,5.85,176.86,arroz
80,52,26,30.06,81.05,6.05,154.7,arroz
63,50,40,24.42,74.23,6.08,221.73,arroz
77,34,38,26.45,65.82,6.18,174.23,arroz
86,57,49,26.46,75.36,7.1,181.48,arroz
80,44,41,26.71,78.56,6.01,179.18,arroz
74,40,40,26.49,91.02,5.27,207.29,arroz
92,30,37,26.26,73.55,5.93,152.24,arroz
87,56,55,26.44,53.23,5.82,112.23,milho
57,54,43,24.25,64.27,6.16,90.98,milho
81,42,49,26.19,58.14,6.11,68.72,milho
79,48,40,27.1,55.77,5.51,61.08,milho
76,41,59,20.84,70.18,6.07,97.58,milho
64,52,44,27.21,60.69,6.05,90.91,milho
69,52,31,22.3,64.46,6.06,95.4,milho
70,52,40,23.44,61.18,5.66,110.21,milho
52,57,48,25.51,65.9,6.58,125.36,milho
51,41,40,25.05,63.11,5.75,104.67,milho
62,45,33,23.15,51.89,5.66,126.34,milho
60,68,48,25.37,54.85,6.25,85.61,milho
71,67,44,27.3,55.78,5.99,144.27,milho
63,62,50,23.88,63.79,6.34,115.55,milho
54,44,43,24.85,63.72,6.06,66.62,milho
73,54,49,27.16,65.0,6.16,98.25,milho
53,53,46,25.54,52.34,5.62,126.33,milho
69,54,45,25.06,65.63,5.82,102.4,milho
65,46,42,25.44,57.13,6.44,77.63,milho
68,46,56,25.39,66.19,5.48,106.68,milho
78,50,53,23.97,68.46,6.8,90.93,milho
65,60,57,23.95,57.48,5.9,66.39,milho
60,42,38,24.93,61.41,6.54,75.04,milho
79,48,44,26.35,53.26,6.13,104.16,milho
74,52,64,23.72,56.81,5.78,86.11,milho
63,58,56,23.86,55.01,6.16,86.19,milho
76,51,32,28.1,70.78,5.79,90.31,milho
72,52,50,29.02,58.94,5.72,65.52,milho
62,49,59,23.96,61.34,5.99,129.71,milho
95,46,41,27.09,64.09,6.65,114.6,milho
66,54,53,26.64,63.04,6.37,129.23,milho
83,54,43,25.29,67.24,5.71,109.22,milho
66,50,55,25.38,60.28,5.52,118.66,milho
76,65,42,25.44,61.5,6.55,97.62,milho
72,54,46,24.11,61.16,6.38,74.34,milho
56,35,59,22.95,61.65,6.43,129.14,soja
54,36,65,23.1,51.81,6.45,77.45,soja
44,44,51,24.87,57.32,6.61,106.26,soja
54,52,41,22.95,60.85,6.28,96.08,soja
52,42,39,28.89,64.51,6.69,98.57,soja
59,43,53,27.29,72.97,6.37,107.73,soja
54,50,44,29.6,64.76,5.8,93.2,soja
48,45,44,25.11,53.66,6.14,29.4,soja
39,45,56,26.85,59.2,6.28,89.91,soja
43,50,57,25.56,65.16,6.37,38.96,soja
52,35,41,25.44,75.79,6.52,75.72,soja
60,49,57,26.12,61.12,6.54,99.84,soja
63,44,58,24.93,72.9,6.37,141.88,soja
48,52,51,24.7,62.1,6.19,100.6,soja
60,35,49,30.28,75.37,6.45,90.95,soja
56,44,41,25.49,54.99,6.44,106.18,soja
50,51,40,23.07,66.35,6.67,132.1,soja
50,47,49,25.65,70.3,6.53,50.59,soja
69,49,44,26.79,67.96,6.39,76.24,soja
48,39,59,27.09,62.78,6.57,18.79,soja
66,27,47,23.76,57.23,6.71,78.31,soja
58,39,53,26.15,57.3,6.65,77.66,soja
39,37,62,27.7,62.91,6.18,81.96,soja
75,42,53,28.06,66.43,6.21,85.09,soja
54,39,55,26.1,69.4,6.27,91.97,soja
35,46,52,28.0,47.62,7.03,86.51,soja
66,32,54,23.89,61.26,6.97,85.23,soja
57,46,53,26.3,67.19,7.14,88.56,soja
57,47,58,28.37,68.83,5.9,130.84,soja
43,42,43,25.87,66.97,6.41,100.55,soja
71,43,48,27.93,72.14,5.87,104.94,soja
62,37,61,25.7,65.75,6.24,90.39,soja
44,29,62,24.31,59.05,5.55,74.03,soja
41,51,58,24.62,78.51,6.64,81.88,soja
30,56,38,22.71,71.14,7.15,124.61,soja
50,42,41,25.52,59.69,6.14,83.44,feijao
37,36,21,23.8,52.07,5.71,89.5,feijao
58,44,22,22.02,63.64,5.76,79.38,feijao
50,31,35,21.33,54.39,6.21,45.18,feijao
49,37,39,24.45,66.18,6.14,74.26,feijao
46,41,35,24.08,53.79,5.87,49.93,feijao
